Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "indCh_v0_9.brd" as of: 10/15/2015 9:57:49 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.625,0.150,180
C2,Top,0.625,0.425,90
C3,Top,0.550,0.425,90
C4,Top,0.150,0.325,0
C5,Top,0.150,0.400,0
C6,Top,0.650,1.050,180
C7,Top,0.650,1.150,180
C8,Top,1.850,0.725,180
CP1,Top,1.900,0.300,90
CP2,Top,1.675,0.275,270
CP3,Top,1.425,0.250,270
IC1,Top,0.725,0.350,90
IC2,Top,0.850,1.100,90
L1,Top,0.425,0.425,90
LP2,Top,1.650,0.475,180
R1,Top,0.475,0.825,0
R2,Top,0.475,0.975,0
R3,Top,0.775,0.150,180
R4,Top,1.025,1.050,270
R5,Top,1.050,1.150,0
R6,Top,1.050,0.825,180
RI,Top,0.150,0.975,270
RP,Top,0.150,0.800,270
RSG,Top,1.075,0.925,0
