Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "LinTempCont_4ch_V1_0.brd" as of: 10/15/2015 9:58:59 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,2.075,1.250,90
C2,Top,2.150,1.250,90
C3,Top,1.350,1.250,90
C4,Top,1.550,1.250,90
C5,Top,1.650,1.250,90
C6,Top,1.750,1.250,90
C7,Top,1.850,1.250,90
C8,Top,1.450,1.250,90
C9,Top,1.750,1.625,270
C10,Top,1.850,1.625,270
C11,Top,1.650,1.625,270
C12,Top,2.975,2.250,0
C13,Top,2.975,2.175,0
C14,Top,2.300,2.750,0
C15,Top,2.300,2.500,0
C16,Top,1.350,0.250,180
C17,Top,0.750,0.250,0
C18,Top,0.600,0.250,180
C19,Top,0.300,0.650,0
C20,Top,5.625,2.200,0
C21,Top,5.625,2.125,0
C22,Top,8.275,2.200,0
C23,Top,8.275,2.125,0
C24,Top,10.900,2.175,0
C25,Top,10.900,2.100,0
C27,Top,2.525,1.950,0
C30,Top,2.515,2.025,0
CP1,Top,0.950,2.800,0
CP2,Top,1.100,2.500,270
CP3,Top,1.500,2.450,270
IC1,Top,3.450,1.300,0
IC2,Top,6.300,1.300,0
IC3,Top,2.700,2.000,180
IC4,Top,3.200,2.300,0
IC5,Top,5.850,2.200,0
IC6,Top,2.275,2.625,180
IC7,Top,9.150,1.300,0
IC8,Top,8.500,2.200,0
IC9,Top,12.000,1.300,0
IC10,Top,11.150,2.200,0
L1,Top,2.550,2.150,90
L2,Top,2.275,1.275,0
L3,Top,2.225,2.225,270
L4,Top,1.300,2.550,180
R1,Top,3.050,1.050,0
R2,Top,3.050,1.150,180
R3,Top,3.850,1.050,180
R4,Top,3.850,1.150,0
R5,Top,3.100,0.350,270
R8,Top,3.500,1.600,90
R9,Top,3.350,1.050,0
R10,Top,3.200,1.050,0
R11,Top,3.600,1.600,90
R12,Top,3.550,1.050,180
R13,Top,3.700,1.050,180
R14,Top,2.100,0.675,180
R15,Top,2.825,2.900,180
R18,Top,2.750,0.650,180
R19,Top,1.350,0.350,90
R20,Top,1.300,0.950,0
R21,Top,1.300,1.050,180
R22,Top,1.625,1.025,0
R23,Top,1.625,1.125,180
R24,Top,1.825,1.000,0
R25,Top,1.825,1.100,180
R26,Top,1.800,1.800,90
R27,Top,1.775,1.725,0
R28,Top,1.225,0.625,90
R29,Top,1.350,0.450,0
R30,Top,1.350,0.150,180
R31,Top,0.775,0.400,0
R32,Top,0.600,0.350,90
R33,Top,0.450,0.650,0
R34,Top,0.575,0.450,0
R35,Top,0.600,0.150,180
R36,Top,0.150,0.650,270
R37,Top,5.900,1.050,0
R38,Top,5.900,1.150,180
R39,Top,6.700,1.050,180
R40,Top,6.700,1.150,0
R43,Top,6.350,1.600,90
R44,Top,6.200,1.050,0
R45,Top,6.050,1.050,0
R46,Top,6.450,1.600,90
R47,Top,6.400,1.050,180
R48,Top,6.550,1.050,180
R49,Top,5.950,0.350,270
R52,Top,4.750,0.700,0
R53,Top,4.650,0.850,180
R54,Top,5.550,0.650,0
R55,Top,8.750,1.050,0
R56,Top,8.750,1.150,180
R57,Top,9.550,1.050,180
R58,Top,9.550,1.150,0
R61,Top,9.200,1.600,90
R62,Top,9.050,1.050,0
R63,Top,8.900,1.050,0
R64,Top,9.300,1.600,90
R65,Top,9.250,1.050,180
R66,Top,9.400,1.050,180
R67,Top,8.800,0.350,270
R70,Top,7.600,0.700,0
R71,Top,7.525,0.875,180
R72,Top,8.350,0.700,0
R73,Top,11.600,1.050,0
R74,Top,11.600,1.150,180
R75,Top,12.400,1.050,180
R76,Top,12.400,1.150,0
R79,Top,12.000,1.600,90
R80,Top,11.900,1.050,0
R81,Top,11.750,1.050,0
R82,Top,12.100,1.600,90
R83,Top,12.100,1.050,180
R84,Top,12.250,1.050,180
R85,Top,11.650,0.400,270
R88,Top,10.450,0.650,0
R89,Top,10.400,0.800,180
R90,Top,11.200,0.650,0
T1,Top,3.100,1.350,180
T2,Top,3.850,1.350,0
T3,Top,5.950,1.350,180
T4,Top,6.700,1.350,0
T5,Top,8.800,1.350,180
T6,Top,9.550,1.350,0
T7,Top,11.650,1.350,180
T8,Top,12.400,1.350,0
TP1,Top,2.600,1.800,0
TP2,Top,3.150,1.650,90
TP3,Top,4.000,1.650,90
TP4,Top,2.950,2.550,0
TP5,Top,3.150,2.550,0
TP6,Top,3.350,2.550,0
TP7,Top,2.550,2.650,90
TP8,Top,3.800,2.550,0
TP9,Top,6.000,1.650,90
TP10,Top,6.850,1.650,90
TP11,Top,5.600,2.550,0
TP12,Top,5.800,2.550,0
TP13,Top,6.000,2.550,0
TP14,Top,6.625,2.550,0
TP15,Top,8.800,1.650,90
TP16,Top,9.750,1.650,90
TP17,Top,8.250,2.500,0
TP18,Top,8.500,2.500,0
TP19,Top,8.700,2.500,0
TP20,Top,9.550,2.550,0
TP21,Top,11.600,1.650,90
TP22,Top,12.550,1.650,90
TP23,Top,10.850,2.500,0
TP24,Top,11.150,2.500,0
TP25,Top,11.400,2.500,0
TP26,Top,12.150,2.550,0
TP27,Top,7.400,2.200,0
